STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
22,401,Surguja,3243,Oudgi,432631,Telaipat,"Telaipat,Oudgi,Surguja,Chhattisgarh,India"
22,401,Surguja,3254,Mainpat,0,Mainpat,"Mainpat,Mainpat,Surguja,Chhattisgarh,India"
22,402,Jashpur ,3255,Bagicha,433623,Pandrapat,"Pandrapat,Bagicha,Jashpur,Chhattisgarh,India"
22,403,Raigarh,3269,Kharsia,435207,Kalmipat,"Kalmipat,Kharsia,Raigarh,Chhattisgarh,India"
22,404,Korba ,3273,Poundi-Uproda,436129,Sepat,"Sepat,Poundi-Uproda,Korba,Chhattisgarh,India"
22,404,Korba ,3276,Kartala,436463,Sidhapat,"Sidhapat,Kartala,Korba,Chhattisgarh,India"
22,405,Janjgir - Champa,3281,Champa,436840,Soniyapat,"Soniyapat,Champa,Janjgir - Champa,Chhattisgarh,India"
22,405,Janjgir - Champa,3281,Champa,436862,Koniyapat,"Koniyapat,Champa,Janjgir - Champa,Chhattisgarh,India"
22,405,Janjgir - Champa,3285,Malkharoda,437237,Bade Sipat,"Bade Sipat,Malkharoda,Janjgir - Champa,Chhattisgarh,India"
22,405,Janjgir - Champa,3285,Malkharoda,437243,Chhote Sipat,"Chhote Sipat,Malkharoda,Janjgir - Champa,Chhattisgarh,India"
22,406,Bilaspur,3287,Pendra Road Gorella,437497,Belpat,"Belpat,Pendra Road Gorella,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3291,Kota,438011,Gobaripat,"Gobaripat,Kota,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3291,Kota,438032,Bedapat,"Bedapat,Kota,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3292,Mungeli,438207,Sankapat,"Sankapat,Mungeli,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3296,Masturi,438787,Seepat,"Seepat,Masturi,Bilaspur,Chhattisgarh,India"
22,407,Kabeerdham,3299,Bodla,439451,Jharpat,"Jharpat,Bodla,Kabeerdham,Chhattisgarh,India"
22,407,Kabeerdham,3301,Pandariya,439846,Sanakpat,"Sanakpat,Pandariya,Kabeerdham,Chhattisgarh,India"
22,408,Rajnandgaon,3303,Khairagarh,440378,Salgapat,"Salgapat,Khairagarh,Rajnandgaon,Chhattisgarh,India"
22,409,Durg,3312,Bemetara,441990,Sanakpat,"Sanakpat,Bemetara,Durg,Chhattisgarh,India"
22,409,Durg,3319,Gunderdehi,442778,Mohdipat,"Mohdipat,Gunderdehi,Durg,Chhattisgarh,India"
22,410,Raipur,3329,Bilaigarh,444264,Karipat,"Karipat,Bilaigarh,Raipur,Chhattisgarh,India"
22,411,Mahasamund,3341,Mahasamund,446274,Senakapat,"Senakapat,Mahasamund,Mahasamund,Chhattisgarh,India"
22,413,Uttar Bastar Kanker,3350,Durgkondal,447658,Silpat,"Silpat,Durgkondal,Uttar Bastar Kanker,Chhattisgarh,India"
22,413,Uttar Bastar Kanker,3353,Antagarh,448088,Mahurpat,"Mahurpat,Antagarh,Uttar Bastar Kanker,Chhattisgarh,India"
